Nom,Adresse,Code Postal,Ville,Téléphone,Site Web,Ligne de Métro,URL d'origine
Work In Paris : Espace de coworking à Paris (75017),"111 Rue Cardinet, 75017 Paris",75017,Paris,01 85 09 38 60,http://www.workinparis.com/cardinet,Métro Malesherbes (ligne 3),https://www.leportagesalarial.com/coworking/work-in-paris-espace-coworking-paris-75017/
SPLIT Coworking : Espace de coworking à Paris (75018),"3 rue Stephenson, 75 018 Paris",,,01 81 51 66 84,http://split-coworking.fr/,Métro La Chapelle (Ligne 2) ou Barbès – Rochechouart (Lignes 2 et 4),https://www.leportagesalarial.com/coworking/split-coworking-espace-coworking-paris-75018/
Le Laptop : Espace de coworking à Paris (75019),"6 rue Arthur Rozier, 75019 Paris",75019,Paris,01 77 16 65 24,https://www.lelaptop.com/,Métro Place des fêtes,https://www.leportagesalarial.com/coworking/le-laptop-espace-coworking-paris-75019/
Mutinerie : Espace de coworking à Paris (75019),"29 rue de Meaux, 75019 Paris",75019,Paris,09 81 74 92 00,http://coworking.mutinerie.org/,Métro Bolivar (ligne 7 bis) ou Colonel Fabien (ligne 2),https://www.leportagesalarial.com/coworking/mutinerie-espace-coworking-paris-75019/
VOLUMES coworking : Espace de coworking à Paris (75019),"78 Rue Compans, 75019 Paris",75019,Paris,07 68 64 61 62,www.volumesparis.org,Métro Botzaris (ligne 7 bis) ou Place des Fêtes (ligne 11),https://www.leportagesalarial.com/coworking/volumes-coworking-espace-coworking-paris-75019/
WoMa : Espace de coworking à Paris (75019),"15 bis rue Léon Giraud, 75019 Paris",75019,Paris,01 40 18 59 21,www.woma.fr,Métro Ourcq (Ligne 5),https://www.leportagesalarial.com/coworking/woma-espace-coworking-paris-75019/
La Ruche : Espace de coworking à Paris (75020),"24 Rue de l’Est, 75020 Paris",75020,Paris,01 83 64 59 04,http://la-ruche.net/,Métro Pyrénées (ligne 11),https://www.leportagesalarial.com/coworking/la-ruche-espace-coworking-paris-75020/
STARTWORKING : Espace de coworking à Saint-Germain-en-Laye (78100),"103 rue Pereire – Parc Pereire, 78100 Saint-Germain-en-Laye",78100,Saint-Germain-en-Laye,01 39 21 90 97,http://www.startworking.fr/,"Gare RER A Saint-Germain-en-Laye, Accès N13/D113 via A13 / A14, bus 22 R2 / Nord et Résalys R4",https://www.leportagesalarial.com/coworking/start-working-coworking-saint-germain-en-laye/
Le Trèfle : Espace de coworking à Boulogne-Billancourt (92100),"31 bis Rue des Longs Prés, 92100 Boulogne-Billancourt",92100,Boulogne-Billancourt,01 80 87 46 01 / 07 61 63 22 57,www.groupe-letrefle.fr,Métro Marcel Sembat (Ligne 9),https://www.leportagesalarial.com/coworking/le-trefle-espace-coworking-boulogne-billancourt-92100/
TimeWorkSpace : Espace de coworking à Puteaux (92800),"3 bis rue Jean Jaurès, 92800 Puteaux",92800,Puteaux,01 49 00 05 40,https://www.timeworkspace.fr/,Métro Esplanade de La Défense (ligne 1),https://www.leportagesalarial.com/coworking/timeworkspace-espace-coworking-puteaux-92800/
Sceaux smart : Espace de coworking à Sceaux (92330),"10 Rue Gaston Lévy, 92330 Sceaux",92330,Sceaux,06 73 02 44 46,www.sceauxsmart.com,Métro Robinson (RER B) ou Sceaux (RER B),https://www.leportagesalarial.com/coworking/sceaux-smart-espace-coworking-sceaux/
Coworking95 : Espace de coworking à L’Isle-Adam (95290),"11 ter rue Bergeret, 95290 L’Isle-Adam",95290,L’Isle-Adam,01 34 69 26 93,http://www.coworking95.fr,Gare L’Isle-Adam – Parmain (ligne h transilien),https://www.leportagesalarial.com/coworking/coworking95-espace-coworking-lisle-adam-95290/
Sandbox 212 : Espace de coworking à Serris (77700),"6 – 8 Cours du Danube, 77 700 Serris",,,Non disponible,http://www.sandbox212.fr/,"RER A, station Val d’Europe",https://www.leportagesalarial.com/coworking/sandbox-212-espace-coworking-serris-77700/
Mon premier bureau : espace de coworking à Villejuif (94800),"100, avenue de Stalingrad, 94800 Villejuif",94800,Villejuif,Non disponible,http://www.monpremierbureau.,Non disponible,https://www.leportagesalarial.com/coworking/mon-premier-bureau-espace-coworking-villejuif-94800/
